13763344,-0.79514647,7.0796776,8.444839
13763354,-1.1208692,7.0174074,7.9526625
13763454,-1.2969031,8.693921,6.76593
13763464,-0.9424402,9.717792,6.5839086
13763473,-0.554447,10.186018,6.502478
13763483,-0.20237915,10.14171,7.2413416
13763493,0.1472937,10.193203,8.193362
13763503,0.08981323,10.183623,8.721463
13763513,-0.21315674,9.413624,8.927435
13763523,-0.17124389,9.030421,9.068742
13763533,-0.19160156,9.084309,9.115444
13763543,-0.25267455,8.532257,8.462802
13763553,-0.26225463,7.965835,7.919132
13763563,-0.31255004,7.8173437,7.5467067
13763573,-0.70533323,6.949149,6.411467
13763583,-0.6885681,5.3756213,5.4905825
13763593,-0.86100954,4.2655296,5.740862
13763603,-0.9687854,3.0799952,6.1252623
13763613,-1.472937,1.4549744,6.0761647
13763623,-2.0010388,-0.18681152,6.0126967
13763633,-2.3016138,-1.541195,6.6773143
13763643,-2.3770568,-2.8967762,6.7611403
13763653,-2.2848487,-4.7768664,6.580316
13763663,-2.4776478,-7.6173596,5.701344
13763673,-1.8633252,-9.457932,6.2797413
13763683,-1.3028907,-10.540481,7.8592567
13763693,-1.7866845,-11.981085,8.9585705
13763703,-2.010619,-12.112811,10.162067
13763713,-2.647694,-10.874586,11.049422
13763723,-3.6547997,-9.016051,10.0626745
13763733,-4.0499783,-6.864126,8.637638
13763743,-3.8966968,-4.7157936,8.029303
13763753,-3.3482373,-3.0428724,7.9119473
13763763,-3.129093,-2.2369483,8.180189
13763773,-2.7123597,-2.0333717,8.959768
13763783,-2.2932312,-2.0561242,9.944121
13763793,-1.9806812,-2.15432,10.04591
13763803,-1.4322217,-2.3878345,10.306967
13763813,-1.0657837,-1.9675086,10.691367
13763823,-1.0190808,-1.5184424,10.802735
13763833,-1.1915222,-1.1148816,10.334509
13763843,-1.4897021,-0.9244775,10.12255
13763853,-1.6896863,-1.1232642,10.000404
13763863,-1.8202149,-1.5328125,10.147697
13763873,-2.0070264,-2.0872595,10.230326
13763883,-1.9303857,-2.5962012,10.291399
13763893,-1.9495459,-3.0883777,10.365644
13763903,-1.9699036,-3.4141004,10.267448
13763913,-1.9782861,-3.612887,10.281818
13763923,-1.9675086,-3.612887,10.17045
13763932,-1.9447559,-3.3697925,10.14171
13763942,-1.9088305,-2.9135413,9.960886
13763952,-2.0501368,-2.3698719,9.53577
13763962,-1.9651135,-1.7531543,9.3309965
13763972,-2.0082238,-1.4537768,9.049582
13763982,-1.7986597,-1.299298,9.196875
13763992,-1.4920971,-1.2729529,9.352551
13764002,-1.526825,-1.890868,9.1693325
13764012,-1.5483801,-2.2944288,9.133407
13764022,-1.3663586,-2.6488917,9.437574
13764032,-0.864602,-2.6776319,10.262659
13764042,-0.9196875,-2.8524683,10.660232
13764052,-1.1280541,-3.0668225,10.912907
13764062,-1.1711645,-2.7997777,10.899734
